code,name_fa,name_en,name_ru,name_local,country,is_border_crossing,trade_role,aliases,code_verified
4506,Mugan,Mugan,,,Azerbaijan,,,"Mugan, AZE",false
,Myursaly,Myursaly,,,Azerbaijan,,,"Myursaly, AZE",false
54708,Myusyusli,Myusyusli,,,Azerbaijan,,,"Myusyusli, AZE",false
,Nahichevan,Nahichevan,,,Azerbaijan,,,"Nahichevan, AZE",false
49887,Navagi,Navagi,,,Azerbaijan,,,"Navagi, AZE",false
7,Neftechala,Neftechala,,,Azerbaijan,,,"Neftechala, AZE",false
7,Ordubad,Ordubad,,,Azerbaijan,,,"Ordubad, AZE",false
,Osmanly-Noviye,Osmanly-Noviye,,,Azerbaijan,,,"Osmanly-Noviye, AZE",false
425,Padar,Padar,,,Azerbaijan,,,"Padar, AZE",false
47919,Pirallah,Pirallah,,,Azerbaijan,,,"Pirallah, AZE",false
46507,Pirshagi (rzd),Pirshagi (rzd),,,Azerbaijan,,,"Pirshagi (rzd), AZE",false
549108,Pirsogat,Pirsogat,,,Azerbaijan,,,"Pirsogat, AZE",false
,Poyljy-Novaya,Poyljy-Novaya,,,Azerbaijan,,,"Poyljy-Novaya, AZE",false
48,Poyly,Poyly,,,Azerbaijan,,,"Poyly, AZE",false
4108,Puta,Puta,,,Azerbaijan,,,"Puta, AZE",false
7408,Qazax,Qazax,,,Azerbaijan,,,"Qazax, AZE",false
7,Saatly,Saatly,,,Azerbaijan,,,"Saatly, AZE",false
,Sabir,Sabir,,,Azerbaijan,,,"Sabir, AZE",false
5146,Sabuhi (rzd),Sabuhi (rzd),,,Azerbaijan,,,"Sabuhi (rzd), AZE",false
,Sabunchi,Sabunchi,,,Azerbaijan,,,"Sabunchi, AZE",false
4556,Sagiri,Sagiri,,,Azerbaijan,,,"Sagiri, AZE",false
,Salahly,Salahly,,,Azerbaijan,,,"Salahly, AZE",false
1,Salyany,Salyany,,,Azerbaijan,,,"Salyany, AZE",false
4505,Sangachaly,Sangachaly,,,Azerbaijan,,,"Sangachaly, AZE",false
4606,Sangachaly (pereval-terminal),Sangachaly (pereval-terminal),,,Azerbaijan,,,"Sangachaly (pereval-terminal), AZE",false
7,Sarajalyar,Sarajalyar,,,Azerbaijan,,,"Sarajalyar, AZE",false
545504,Sarvan,Sarvan,,,Azerbaijan,,,"Sarvan, AZE",false
45608,Shabran,Shabran,,,Azerbaijan,,,"Shabran, AZE",false
,Shahtahty,Shahtahty,,,Azerbaijan,,,"Shahtahty, AZE",false
,Shakarly,Shakarly,,,Azerbaijan,,,"Shakarly, AZE",false
5676,Shamkir,Shamkir,,,Azerbaijan,,,"Shamkir, AZE",false
1,Sharur,Sharur,,,Azerbaijan,,,"Sharur, AZE",false
49,Sharur (exp.),Sharur (exp.),,,Azerbaijan,,,"Sharur (exp.), AZE",false
4,Sheki,Sheki,,,Azerbaijan,,,"Sheki, AZE",false
1444,Sheyflju,Sheyflju,,,Azerbaijan,,,"Sheyflju, AZE",false
,Shirvan,Shirvan,,,Azerbaijan,,,"Shirvan, AZE",false
545909,Siazan,Siazan,,,Azerbaijan,,,"Siazan, AZE",false
